
48,"Al Horford
Center |
2016-2019 (FA: 2019)
Originally signed w/ BOS",30,4,"$113,326,228","$28,331,557",-
49,"Marc Gasol
Center |
2015-2019 (FA: 2020)
Originally signed w/ MEM",30,5,"$113,211,750","$22,642,350",-
49,"Kevin Love
Center |
2015-2019 (FA: 0)",26,5,"$113,211,750","$22,642,350",-
51,"Gilbert Arenas
Shooting Guard |
2008-2010 (FA: 2011)
Originally signed w/ WAS",26,6,"$111,000,000","$18,500,000",-
52,"LeBron James
Small Forward |
2010-2013 (FA: 2014)
Originally signed w/ CLE",25,6,"$109,837,500","$18,306,250",-
52,"Chris Bosh
Power Forward |
2010-2013 (FA: 2014)
Originally signed w/ TOR",25,6,"$109,837,500","$18,306,250",-
54,"Al Horford
Center |
2019-2022 (FA: 2023)",33,4,"$109,000,000","$27,250,000",-
55,"Chris Paul
Point Guard |
2013-2017 (FA: 2018)
Originally signed w/ LAC",28,5,"$107,343,477","$21,468,695",-
56,"Dwyane Wade
Shooting Guard |
2010-2015 (FA: 2016)",28,6,"$107,186,000","$17,864,333",-
57,"Jaylen Brown
Shooting Guard |
2020-2023 (FA: 2024)",22,4,"$107,000,000","$26,750,000",-
58,"C.J. McCollum
Shooting Guard |
2017-2020 (FA: 2021)",24,4,"$106,633,449","$26,658,362",-
59,"Otto Porter Jr.
Small Forward |
2017-2020 (FA: 2021)
Originally signed w/ WAS",24,4,"$106,524,975","$26,631,244",-
60,"Juwan Howard
Power Forward |
1996-2002 (FA: 2003)
Originally signed w/ WAS",23,7,"$105,375,000","$15,053,571",-
61,"Alonzo Mourning
Center |
1996-2002 (FA: 2003)",26,7,"$105,034,200","$15,004,886",-
62,"Jason Kidd
Point Guard |
2003-2008 (FA: 2009)
Originally signed w/ NJN",30,6,"$103,572,000","$17,262,000",-
63,"Kawhi Leonard
Small Forward |
2019-2021 (FA: 2022)",28,3,"$103,137,300","$34,379,100",-
64,"Rudy Gobert
Center |
2017-2020 (FA: 2021)",24,4,"$102,000,000","$25,500,000",-
65,"Michael Finley
Shooting Guard |
2001-2007 (FA: 2008)",27,7,"$101,141,999","$14,448,857",-
66,"Shaquille O'Neal
Center |
2005-2009 (FA: 2010)
Originally signed w/ MIA",32,5,"$101,000,000","$20,200,000",-
67,"Allan Houston
Shooting Guard |
2001-2006 (FA: 2007)",30,6,"$100,387,500","$16,731,250",-
68,"C.J. McCollum
Shooting Guard |
2021-2023 (FA: 2024)",27,3,"$100,000,000","$33,333,333",-
68,"Kevin Garnett
Power Forward |
2004-2008 (FA: 2009)",27,5,"$100,000,000","$20,000,000",-
68,"Kyle Lowry
Point Guard |
2017-2019 (FA: 2020)",31,3,"$100,000,000","$33,333,333",-
68,"Steven Adams
Center |
2017-2020 (FA: 2021)",23,4,"$100,000,000","$25,000,000",-
68,"Giannis Antetokounmpo
Power Forward |
2017-2020 (FA: 2021)",21,4,"$100,000,000","$25,000,000",-
68,"Nikola Vucevic
Center |
2019-2022 (FA: 2023)",28,4,"$100,000,000","$25,000,000",-
74,"LeBron James
Small Forward |
2016-2017 (FA: 2018)
Originally signed w/ CLE",31,3,"$99,857,127","$33,285,709",-
75,"Amar'e Stoudemire
Power Forward |
2010-2014 (FA: 2015)
Originally signed w/ PHX",27,5,"$99,743,996","$19,948,799",-
76,"Draymond Green
Power Forward |
2020-2023 (FA: 2024)",29,4,"$99,666,362","$24,916,591",-
77,"Deron Williams
Point Guard |
2012-2016 (FA: 2015)
Originally signed w/ BKN",28,5,"$98,772,325","$19,754,465",-
78,"Hassan Whiteside
Center |
2016-2019 (FA: 2020)
Originally signed w/ MIA",27,4,"$98,419,538","$24,604,885",-
79,"Blake Griffin
Power Forward |
2013-2017 (FA: 2018)
Originally signed w/ LAC",23,5,"$94,538,626","$18,907,725",-
80,"Harrison Barnes
Small Forward |
2016-2019 (FA: 2019)
Originally signed w/ DAL",24,4,"$94,438,525","$23,609,631",-
81,"Chandler Parsons
Small Forward |
2016-2019 (FA: 2020)
Originally signed w/ MEM",27,4,"$94,438,523","$23,609,631",-
82,"Kyrie Irving
Point Guard |
2015-2019 (FA: 2019)
Originally signed w/ CLE",22,5,"$94,343,126","$18,868,625",-
82,"Kawhi Leonard
Small Forward |
2015-2019 (FA: 2019)
Originally signed w/ SAS",23,5,"$94,343,126","$18,868,625",-
84,"Derrick Rose
Point Guard |
2012-2016 (FA: 2017)
Originally signed w/ CHI",23,5,"$94,314,380","$18,862,876",-
85,"Buddy Hield
Shooting Guard |
2020-2023 (FA: 2024)",26,4,"$94,000,000","$23,500,000",-
86,"Jalen Rose
Small Forward |
2000-2006 (FA: 2007)
Originally signed w/ IND",26,7,"$93,000,000","$13,285,714",-
87,"Tracy McGrady
Shooting Guard |
2000-2006 (FA: 0)
Originally signed w/ TOR",21,7,"$92,960,250","$13,280,036",-
87,"Grant Hill
Small Forward |
2000-2006 (FA: 2007)
Originally signed w/ ORL",27,7,"$92,960,250","$13,280,036",-
89,"Jimmy Butler
Shooting Guard |
2015-2019 (FA: 2019)
Originally signed w/ CHI",25,5,"$92,339,878","$18,467,976","$4,600,000"
90,"Paul George
Small Forward |
2014-2018 (FA: 2018)
Originally signed w/ IND",23,5,"$91,572,660","$18,314,532",-
91,"Kenyon Martin
Power Forward |
2004-2010 (FA: 2011)
Originally signed w/ DEN",26,7,"$91,000,000","$13,000,000",-
92,"Michael Redd
Shooting Guard |
2005-2010 (FA: 2011)
Originally signed w/ MIL",0,6,"$90,100,000","$15,016,667",-
93,"Paul Millsap
Power Forward |
2017-2019 (FA: 2020)",31,3,"$90,000,000","$30,000,000",-
93,"Clint Capela
Center |
2018-2022 (FA: 2023)
Originally signed w/ HOU",24,5,"$90,000,000","$18,000,000",-
95,"Kevin Durant
Small Forward |
2011-2015 (FA: 2016)
Originally signed w/ OKC",22,5,"$89,163,134","$17,832,627",-
96,"Shaquille O'Neal
Center |
2003-2004 (FA: 2005)
Originally signed w/ LAL",30,3,"$88,500,000","$29,500,000",-
97,"DeAndre Jordan
Center |
2015-2018 (FA: 2019)
Originally signed w/ LAC",26,4,"$87,616,050","$21,904,013",-
98,"Dwight Howard
Center |
2013-2016 (FA: 2017)
Originally signed w/ HOU",27,4,"$87,591,270","$21,897,818",-
99,"Anfernee Hardaway
Point Guard |
1999-2005 (FA: 2006)
Originally signed w/ ORL",28,7,"$86,630,000","$12,375,714",-
100,"Pau Gasol
Center |
2005-2010 (FA: 0)
Originally signed w/ MEM",24,6,"$86,473,000","$14,412,167",-
101,"Andrei Kirilenko
Small Forward |
2005-2010 (FA: 2011)
Originally signed w/ UTH",23,6,"$86,435,749","$14,405,958",-
102,"Baron Davis
Point Guard |
2003-2007 (FA: 2008)
Originally signed w/ NOH",23,6,"$86,310,000","$14,385,000",-
102,"Shawn Marion
Small Forward |
2003-2008 (FA: 2009)
Originally signed w/ PHX",24,6,"$86,310,000","$14,385,000",-
104,"Russell Westbrook
Point Guard |
2016-2018 (FA: 0)
Originally signed w/ OKC",27,3,"$85,591,823","$28,530,608",-
105,"Goran Dragic
Point Guard |
2015-2019 (FA: 2020)",29,5,"$85,002,250","$17,000,450",-
106,"Harrison Barnes
Small Forward |
2019-2022 (FA: 2023)",27,4,"$85,000,000","$21,250,000",-
106,"Malcolm Brogdon
Point Guard |
2019-2022 (FA: 2023)",26,4,"$85,000,000","$21,250,000",-
106,"Evan Fournier
Shooting Guard |
2016-2020 (FA: 2021)",23,5,"$85,000,000","$17,000,000",-
106,"Victor Oladipo
Shooting Guard |
2017-2020 (FA: 2021)
Originally signed w/ OKC",24,4,"$85,000,000","$21,250,000",-
110,"John Wall
Point Guard |
2014-2018 (FA: 0)",22,5,"$84,789,500","$16,957,900",-
111,"Zach Randolph
Power Forward |
2005-2010 (FA: 2011)
Originally signed w/ POR",23,6,"$84,333,334","$14,055,556",-
112,"LaMarcus Aldridge
Power Forward |
2015-2018 (FA: 0)",29,4,"$84,072,030","$21,018,008",-
113,"Gary Harris
Shooting Guard |
2018-2021 (FA: 2022)",23,4,"$84,000,000","$21,000,000",-
114,"Kobe Bryant
Small Forward |
2011-2013 (FA: 0)",32,3,"$83,547,447","$27,849,149",-
115,"Dwight Howard
Center |
2007-2012 (FA: 2013)
Originally signed w/ ORL",21,5,"$83,235,900","$16,647,180",-
116,"Rudy Gay
Small Forward |
2010-2014 (FA: 2015)
Originally signed w/ MEM",23,5,"$82,302,690","$16,460,538",-
117,"Tristan Thompson
Center |
2015-2019 (FA: 2020)",24,5,"$82,000,000","$16,400,000",-
